localizacion,poblacion,year,densidad,porcentaje,variacionAnualPoblacion,variacionAnualDensidad
Nou Barris,168181,2009,21022,10.37,0.45,0.44
Sant Andreu,146528,2009,21548,9.04,0.75,0.75
Sant Martí,228701,2009,21176,14.1,1.00,1.01
Barcelona,1621537,2009,15991,100,0.35,0.35
Ciutat Vella,104507,2010,23223,6.45,-2.72,-2.72
Eixample,265785,2010,35438,16.41,-0.41,-0.41
Sants-Montjuïc,182914,2010,8507,11.3,0.28,0.28
Les Corts,82883,2010,13813,5.12,-0.08,-0.09
Sarrià-Sant Gervasi,144537,2010,7190,8.93,0.43,0.43
Gràcia,122990,2010,29283,7.6,-0.32,-0.32
Horta-Guinardó,170795,2010,14232,10.55,-0.23,-0.23
Nou Barris,167949,2010,20993,10.37,-0.14,-0.14
Sant Andreu,146844,2010,21594,9.07,0.22,0.21
Sant Martí,230133,2010,21308,14.21,0.63,0.62
Barcelona,1619337,2010,15969,100,-0.14,-0.14
Ciutat Vella,103563,2011,23014,6.41,-0.90,-0.90
Eixample,264477,2011,35263,16.37,-0.49,-0.49
Sants-Montjuïc,182817,2011,8503,11.32,-0.05,-0.05
Les Corts,82436,2011,13739,5.1,-0.54,-0.54
Sarrià-Sant Gervasi,144554,2011,7191,8.95,0.01,0.01
Gràcia,121540,2011,28938,7.52,-1.18,-1.18
Horta-Guinardó,169896,2011,14158,10.52,-0.53,-0.52
Nou Barris,167637,2011,20954,10.38,-0.19,-0.19
Sant Andreu,147370,2011,21672,9.12,0.36,0.36
Sant Martí,231158,2011,21403,14.31,0.45,0.45
Barcelona,1615448,2011,15931,100,-0.24,-0.24
Ciutat Vella,104442,2012,23209,6.44,0.85,0.85
Eixample,265828,2012,35443,16.4,0.51,0.51
Sants-Montjuïc,184072,2012,8561,11.36,0.69,0.68
Les Corts,82420,2012,13736,5.08,-0.02,-0.02
Sarrià-Sant Gervasi,145391,2012,7233,8.97,0.58,0.58
Gràcia,121926,2012,29030,7.52,0.32,0.32
Horta-Guinardó,169107,2012,14092,10.43,-0.46,-0.47
Nou Barris,167419,2012,20927,10.33,-0.13,-0.13
Sant Andreu,147453,2012,21684,9.1,0.06,0.06
Sant Martí,232885,2012,21563,14.37,0.75,0.75
Barcelona,1620943,2012,15985,100,0.34,0.34
Ciutat Vella,103339,2013,22964,6.41,-1.06,-1.06
Eixample,264780,2013,35304,16.43,-0.39,-0.39
Sants-Montjuïc,182685,2013,8496,11.33,-0.75,-0.76
Les Corts,81640,2013,13606,5.07,-0.95,-0.95
Sarrià-Sant Gervasi,145266,2013,7227,9.01,-0.09,-0.08
Gràcia,120949,2013,28797,7.5,-0.80,-0.80
Horta-Guinardó,167743,2013,13978,10.41,-0.81,-0.81
Nou Barris,165748,2013,20718,10.28,-1.00,-1.00
Sant Andreu,146846,2013,21595,9.11,-0.41,-0.41
Sant Martí,232826,2013,21557,14.44,-0.03,-0.03
Barcelona,1611822,2013,15895,100,-0.56,-0.56
Ciutat Vella,100685,2014,22374,6.28,-2.57,-2.57
Eixample,263565,2014,35142,16.45,-0.46,-0.46
Sants-Montjuïc,180824,2014,8410,11.28,-1.02,-1.01
Les Corts,81200,2014,13533,5.07,-0.54,-0.54
Sarrià-Sant Gervasi,145761,2014,7251,9.1,0.34,0.33
Gràcia,120273,2014,28636,7.51,-0.56,-0.56
