localizacion,poblacion,year,densidad,porcentaje
Nou Barris,164516,2014,20564,10.27
Sant Andreu,145983,2014,21468,9.11
Sant Martí,232629,2014,21539,14.52
Barcelona,1602386,2014,15802,100
Ciutat Vella,100115,2015,22247,6.24
Eixample,263558,2015,35141,16.43
Sants-Montjuïc,180757,2015,8407,11.27
Les Corts,81530,2015,13588,5.08
Sarrià-Sant Gervasi,146834,2015,7305,9.15
Gràcia,120401,2015,28666,7.5
Horta-Guinardó,166559,2015,13879,10.38
Nou Barris,164648,2015,20581,10.26
Sant Andreu,146494,2015,21543,9.13
Sant Martí,233659,2015,21635,14.56
Barcelona,1604555,2015,15824,100
Ciutat Vella,100070,2016,22237,6.22
Eixample,264305,2016,35240,16.43
Sants-Montjuïc,180977,2016,8417,11.25
Les Corts,81642,2016,13607,5.07
Sarrià-Sant Gervasi,148026,2016,7364,9.2
Gràcia,120918,2016,28790,7.52
Horta-Guinardó,167268,2016,13939,10.4
Nou Barris,164881,2016,20610,10.25
Sant Andreu,146731,2016,21578,9.12
Sant Martí,233928,2016,21660,14.54
Barcelona,1608746,2016,15865,100
