localizacion,rango,year,poblacion,porcentaje,variacionAnual
Sant Martí,de 40-59,2015,69432,29.72,1.740812379
Sant Martí,de 60-79,2015,44058,18.86,0.321060182
Sant Martí,más de 80,2015,16269,6.96,2.372262774
Barcelona,de 0 a 20,2015,265332,16.54,0.597903357
Barcelona,de 20-39,2015,447461,27.89,-1.666648353
Barcelona,de 40-59,2015,456377,28.44,1.429282625
Barcelona,de 60-79,2015,313038,19.51,-0.143546164
Barcelona,más de 80,2015,122347,7.62,1.826852653
Ciutat Vella,de 0 a 20,2014,14226,14.13,-1.86935228
Ciutat Vella,de 20-39,2014,40399,40.12,-4.124641052
Ciutat Vella,de 40-59,2014,27335,27.15,-0.368129465
Ciutat Vella,de 60-79,2014,13131,13.04,-3.341921237
Ciutat Vella,más de 80,2014,5594,5.56,-1.583391977
Eixample,de 0 a 20,2014,38174,14.48,0.479048221
Eixample,de 20-39,2014,78505,29.79,-2.036512472
Eixample,de 40-59,2014,73112,27.74,0.436849191
Eixample,de 60-79,2014,51423,19.51,-0.058305638
Eixample,más de 80,2014,22351,8.48,-0.236564899
Sants-Montjuïc,de 0 a 20,2014,28142,15.56,-0.880529727
Sants-Montjuïc,de 20-39,2014,54243,30,-3.614265153
Sants-Montjuïc,de 40-59,2014,52191,28.86,0.268966975
Sants-Montjuïc,de 60-79,2014,33575,18.57,-0.169481446
Sants-Montjuïc,más de 80,2014,12673,7.01,2.756831266
Les Corts,de 0 a 20,2014,13164,16.21,-0.083491461
Les Corts,de 20-39,2014,20835,25.66,-3.19208252
Les Corts,de 40-59,2014,21654,26.67,-0.119926199
Les Corts,de 60-79,2014,19242,23.7,0.55918474
Les Corts,más de 80,2014,6305,7.76,2.888381201
Sarrià-Sant Gervasi,de 0 a 20,2014,30552,20.96,1.636726547
Sarrià-Sant Gervasi,de 20-39,2014,35405,24.29,-1.69373872
Sarrià-Sant Gervasi,de 40-59,2014,40320,27.66,1.052631579
Sarrià-Sant Gervasi,de 60-79,2014,28073,19.26,0.217763816
Sarrià-Sant Gervasi,más de 80,2014,11411,7.83,1.170316517
Gràcia,de 0 a 20,2014,18263,15.18,0.655864198
