localizacion,personas,nacionalidad,year,variacionAnual,población,porcentaje,
Nou Barris,1714,Marruecos,2009,8.687381103,168181,1.02,
Sant Andreu,1456,Marruecos,2009,4.148783977,146528,0.99,
Sant Martí,2055,Marruecos,2009,6.421543242,228701,0.90,
Ciutat Vella,1976,Bolivia,2009,-45.9370725,107426,1.84,
Eixample,2009,Bolivia,2009,4.580947423,266874,0.75,
Sants-Montjuïc,2253,Bolivia,2009,3.491042719,182395,1.24,
Les Corts,489,Bolivia,2009,0.410677618,82952,0.59,
Sarrià-Sant Gervasi,866,Bolivia,2009,5.481120585,143911,0.60,
Gràcia,1024,Bolivia,2009,-3.668861712,123383,0.83,
Horta-Guinardó,1980,Bolivia,2009,-2.077151335,171186,1.16,
Nou Barris,3058,Bolivia,2009,-1.003561023,168181,1.82,
Sant Andreu,1573,Bolivia,2009,3.418803419,146528,1.07,
Sant Martí,1957,Bolivia,2009,1.874023946,228701,0.86,
Ciutat Vella,1353,Ecuador,2009,-11.33682831,107426,1.26,
Eixample,2320,Ecuador,2009,-7.014028056,266874,0.87,
Sants-Montjuïc,3161,Ecuador,2009,-5.950609938,182395,1.73,
Les Corts,440,Ecuador,2009,0.456621005,82952,0.53,
Sarrià-Sant Gervasi,414,Ecuador,2009,-9.803921569,143911,0.29,
Gràcia,883,Ecuador,2009,-6.263269639,123383,0.72,
Horta-Guinardó,2476,Ecuador,2009,-7.646400597,171186,1.45,
Nou Barris,5234,Ecuador,2009,-5.557560447,168181,3.11,
Sant Andreu,2477,Ecuador,2009,-5.168453292,146528,1.69,
Sant Martí,3111,Ecuador,2009,-2.993451824,228701,1.36,
Ciutat Vella,577,Perú,2009,-9.133858268,107426,0.54,
Eixample,2704,Perú,2009,-1.421800948,266874,1.01,
Sants-Montjuïc,2269,Perú,2009,1.703272075,182395,1.24,
Les Corts,527,Perú,2009,1.737451737,82952,0.64,
Sarrià-Sant Gervasi,667,Perú,2009,-0.891530461,143911,0.46,
Gràcia,879,Perú,2009,-3.93442623,123383,0.71,
Horta-Guinardó,1780,Perú,2009,2.181400689,171186,1.04,
Nou Barris,1869,Perú,2009,3.71809101,168181,1.11,
Sant Andreu,2088,Perú,2009,-0.334128878,146528,1.42,
Sant Martí,2216,Perú,2009,2.308402585,228701,0.97,
Ciutat Vella,863,Colombia,2009,1.053864169,107426,0.80,
Eixample,2339,Colombia,2009,-1.722689076,266874,0.88,
Sants-Montjuïc,2034,Colombia,2009,0.394866732,182395,1.12,
Les Corts,540,Colombia,2009,-2.173913043,82952,0.65,
Sarrià-Sant Gervasi,646,Colombia,2009,-8.108108108,143911,0.45,
Gràcia,876,Colombia,2009,-2.232142857,123383,0.71,
Horta-Guinardó,1688,Colombia,2009,1.625526791,171186,0.99,
Nou Barris,1413,Colombia,2009,1.217765043,168181,0.84,
Sant Andreu,1134,Colombia,2009,1.612903226,146528,0.77,
Sant Martí,1904,Colombia,2009,3.141928494,228701,0.83,
Ciutat Vella,6684,Pakistán,2009,,107426,6.22,
Eixample,1106,Pakistán,2009,,266874,0.41,
Sants-Montjuïc,2833,Pakistán,2009,,182395,1.55,
Les Corts,418,Pakistán,2009,,82952,0.50,
Sarrià-Sant Gervasi,418,Pakistán,2009,,143911,0.29,
Gràcia,541,Pakistán,2009,,123383,0.44,
Horta-Guinardó,827,Pakistán,2009,,171186,0.48,
Nou Barris,1716,Pakistán,2009,,168181,1.02,
Sant Andreu,1663,Pakistán,2009,,146528,1.13,
Sant Martí,3134,Pakistán,2009,,228701,1.37,
Ciutat Vella,1004,China,2009,8.540540541,107426,0.93,
Eixample,4376,China,2009,7.307503678,266874,1.64,
Sants-Montjuïc,2259,China,2009,14.84494154,182395,1.24,
Les Corts,402,China,2009,16.1849711,82952,0.48,
Sarrià-Sant Gervasi,496,China,2009,5.307855626,143911,0.34,
Gràcia,717,China,2009,7.496251874,123383,0.58,
Horta-Guinardó,740,China,2009,11.61387632,171186,0.43,
Nou Barris,1186,China,2009,15.03394762,168181,0.71,
Sant Andreu,1377,China,2009,8.254716981,146528,0.94,
Sant Martí,2578,China,2009,4.28802589,228701,1.13,
Ciutat Vella,4623,Filipinas,2009,4.901293397,107426,4.30,
Eixample,905,Filipinas,2009,11.04294479,266874,0.34,
Sants-Montjuïc,1539,Filipinas,2009,3.846153846,182395,0.84,
Les Corts,66,Filipinas,2009,10,82952,0.08,
Sarrià-Sant Gervasi,292,Filipinas,2009,8.550185874,143911,0.20,
Gràcia,88,Filipinas,2009,18.91891892,123383,0.07,
Horta-Guinardó,62,Filipinas,2009,6.896551724,171186,0.04,
Nou Barris,65,Filipinas,2009,-1.515151515,168181,0.04,
Sant Andreu,56,Filipinas,2009,1.818181818,146528,0.04,
Sant Martí,160,Filipinas,2009,19.40298507,228701,0.07,
Ciutat Vella,778,Rumanía,2009,-0.638569604,107426,0.72,
Eixample,901,Rumanía,2009,5.257009346,266874,0.34,
Sants-Montjuïc,931,Rumanía,2009,7.630057803,182395,0.51,
Les Corts,287,Rumanía,2009,10.81081081,82952,0.35,
Sarrià-Sant Gervasi,242,Rumanía,2009,6.607929515,143911,0.17,
Gràcia,419,Rumanía,2009,9.399477807,123383,0.34,
Horta-Guinardó,874,Rumanía,2009,7.371007371,171186,0.51,
Nou Barris,940,Rumanía,2009,3.867403315,168181,0.56,
Sant Andreu,601,Rumanía,2009,7.70609319,146528,0.41,
Sant Martí,1074,Rumanía,2009,3.368623677,228701,0.47,
Ciutat Vella,62313,España,2008,-1.490767674,111636,55.82,
Eixample,219555,España,2008,-0.509787928,265866,82.58,
Sants-Montjuïc,146080,España,2008,-0.544662309,181432,80.52,
Les Corts,72572,España,2008,-0.475870486,82489,87.98,
Sarrià-Sant Gervasi,125975,España,2008,-0.221773395,142665,88.30,
Gràcia,103273,España,2008,-0.350264387,122088,84.59,
Horta-Guinardó,147781,España,2008,-0.483504939,170427,86.71,
Nou Barris,140155,España,2008,-0.808928647,167433,83.71,
Sant Andreu,126163,España,2008,-0.286109465,145443,86.74,
Sant Martí,192844,España,2008,-0.318412075,226429,85.17,
Ciutat Vella,3562,Italia,2008,12.33049511,111636,3.19,
Eixample,5316,Italia,2008,14.00386018,265866,2.00,
Sants-Montjuïc,2004,Italia,2008,13.60544218,181432,1.10,
Les Corts,920,Italia,2008,14.85642946,82489,1.12,
Sarrià-Sant Gervasi,2043,Italia,2008,9.309791332,142665,1.43,
Gràcia,2365,Italia,2008,16.84782609,122088,1.94,
Horta-Guinardó,1357,Italia,2008,15.39115646,170427,0.80,
Nou Barris,703,Italia,2008,16.77740864,167433,0.42,
Sant Andreu,856,Italia,2008,12.77997365,145443,0.59,
Sant Martí,2529,Italia,2008,18.56540084,226429,1.12,
Ciutat Vella,2085,francia,2008,15.44850498,111636,1.87,
Eixample,3128,francia,2008,13.00578035,265866,1.18,
Sants-Montjuïc,1160,francia,2008,17.52786221,181432,0.64,
Les Corts,898,francia,2008,11.69154229,82489,1.09,
Sarrià-Sant Gervasi,1942,francia,2008,4.072883173,142665,1.36,
Gràcia,1342,francia,2008,12.77310924,122088,1.10,
Horta-Guinardó,588,francia,2008,16.66666667,170427,0.35,
Nou Barris,239,francia,2008,14.35406699,167433,0.14,
Sant Andreu,304,francia,2008,19.21568627,145443,0.21,
Sant Martí,1187,francia,2008,12.19281664,226429,0.52,
Ciutat Vella,1253,Reino Unido,2008,6.820119352,111636,1.12,
Eixample,1528,Reino Unido,2008,10.08645533,265866,0.57,
Sants-Montjuïc,537,Reino Unido,2008,15.98272138,181432,0.30,
Les Corts,228,Reino Unido,2008,4.109589041,82489,0.28,
Sarrià-Sant Gervasi,725,Reino Unido,2008,5.994152047,142665,0.51,
Gràcia,700,Reino Unido,2008,3.703703704,122088,0.57,
Horta-Guinardó,283,Reino Unido,2008,8.429118774,170427,0.17,
Nou Barris,103,Reino Unido,2008,14.44444444,167433,0.06,
Sant Andreu,116,Reino Unido,2008,19.58762887,145443,0.08,
Sant Martí,627,Reino Unido,2008,11.17021277,226429,0.28,
Ciutat Vella,3830,Marruecos,2008,-1.643554186,111636,3.43,
Eixample,1181,Marruecos,2008,9.048938135,265866,0.44,
Sants-Montjuïc,2521,Marruecos,2008,11.20423467,181432,1.39,
Les Corts,183,Marruecos,2008,27.08333333,82489,0.22,
Sarrià-Sant Gervasi,289,Marruecos,2008,24.03433476,142665,0.20,
Gràcia,586,Marruecos,2008,17.2,122088,0.48,
Horta-Guinardó,1011,Marruecos,2008,18.94117647,170427,0.59,
Nou Barris,1577,Marruecos,2008,17.77445855,167433,0.94,
Sant Andreu,1398,Marruecos,2008,12.01923077,145443,0.96,
Sant Martí,1931,Marruecos,2008,9.965831435,226429,0.85,
Ciutat Vella,3655,Bolivia,2008,-29.88682141,111636,3.27,
Eixample,1921,Bolivia,2008,15.51413109,265866,0.72,
Sants-Montjuïc,2177,Bolivia,2008,13.09090909,181432,1.20,
Les Corts,487,Bolivia,2008,26.16580311,82489,0.59,
Sarrià-Sant Gervasi,821,Bolivia,2008,16.78520626,142665,0.58,
Gràcia,1063,Bolivia,2008,20.11299435,122088,0.87,
Horta-Guinardó,2022,Bolivia,2008,9.534127844,170427,1.19,
Nou Barris,3089,Bolivia,2008,5.42662116,167433,1.84,
Sant Andreu,1521,Bolivia,2008,14.87915408,145443,1.05,
Sant Martí,1921,Bolivia,2008,11.75101803,226429,0.85,
Ciutat Vella,1526,Ecuador,2008,-12.89954338,111636,1.37,
Eixample,2495,Ecuador,2008,-6.343843844,265866,0.94,
Sants-Montjuïc,3361,Ecuador,2008,-3.696275072,181432,1.85,
Les Corts,438,Ecuador,2008,-7.006369427,82489,0.53,
Sarrià-Sant Gervasi,459,Ecuador,2008,-5.942622951,142665,0.32,
Gràcia,942,Ecuador,2008,-5.705705706,122088,0.77,
Horta-Guinardó,2681,Ecuador,2008,1.322751323,170427,1.57,
Nou Barris,5542,Ecuador,2008,1.706735181,167433,3.31,
Sant Andreu,2612,Ecuador,2008,2.794175521,145443,1.80,
Sant Martí,3207,Ecuador,2008,-2.582017011,226429,1.42,
Ciutat Vella,635,Perú,2008,5.833333333,111636,0.57,
Eixample,2743,Perú,2008,1.479837218,265866,1.03,
Sants-Montjuïc,2231,Perú,2008,8.935546875,181432,1.23,
Les Corts,518,Perú,2008,13.84615385,82489,0.63,
Sarrià-Sant Gervasi,673,Perú,2008,8.899676375,142665,0.47,
Gràcia,915,Perú,2008,4.33295325,122088,0.75,
Horta-Guinardó,1742,Perú,2008,11.45233525,170427,1.02,
Nou Barris,1802,Perú,2008,11.7866005,167433,1.08,
Sant Andreu,2095,Perú,2008,10.84656085,145443,1.44,
Sant Martí,2166,Perú,2008,5.452775073,226429,0.96,
Ciutat Vella,854,Colombia,2008,-1.385681293,111636,0.76,
Eixample,2380,Colombia,2008,11.00746269,265866,0.90,
Sants-Montjuïc,2026,Colombia,2008,9.572742023,181432,1.12,
Les Corts,552,Colombia,2008,6.563706564,82489,0.67,
Sarrià-Sant Gervasi,703,Colombia,2008,8.992248062,142665,0.49,
Gràcia,896,Colombia,2008,7.821901324,122088,0.73,
Horta-Guinardó,1661,Colombia,2008,14.70994475,170427,0.97,
Nou Barris,1396,Colombia,2008,12.48992748,167433,0.83,
Sant Andreu,1116,Colombia,2008,17.22689076,145443,0.77,
Sant Martí,1846,Colombia,2008,11.0709988,226429,0.82,
Ciutat Vella,6357,Pakistán,2008,4.435682602,111636,5.69,
Eixample,891,Pakistán,2008,73.68421053,265866,0.34,
Sants-Montjuïc,2590,Pakistán,2008,20.74592075,181432,1.43,
Les Corts,299,Pakistán,2008,550,82489,0.36,
Sarrià-Sant Gervasi,249,Pakistán,2008,758.6206897,142665,0.17,
Gràcia,410,Pakistán,2008,159.4936709,122088,0.34,
Horta-Guinardó,586,Pakistán,2008,73.88724036,170427,0.34,
Nou Barris,1478,Pakistán,2008,39.04045155,167433,0.88,
Sant Andreu,1419,Pakistán,2008,45.38934426,145443,0.98,
Sant Martí,2810,Pakistán,2008,25.50245645,226429,1.24,
Ciutat Vella,925,China,2008,15.91478697,111636,0.83,
Eixample,4078,China,2008,16.68097282,265866,1.53,
Sants-Montjuïc,1967,China,2008,15.09654769,181432,1.08,
Les Corts,346,China,2008,17.28813559,82489,0.42,
Sarrià-Sant Gervasi,471,China,2008,14.32038835,142665,0.33,
Gràcia,667,China,2008,28.51637765,122088,0.55,
Horta-Guinardó,663,China,2008,32.33532934,170427,0.39,
Nou Barris,1031,China,2008,31.17048346,167433,0.62,
Sant Andreu,1272,China,2008,29.26829268,145443,0.87,
Sant Martí,2472,China,2008,29.83193277,226429,1.09,
Ciutat Vella,4407,Filipinas,2008,14.61638492,111636,3.95,
Eixample,815,Filipinas,2008,10.73369565,265866,0.31,
Sants-Montjuïc,1482,Filipinas,2008,26.45051195,181432,0.82,
Les Corts,60,Filipinas,2008,27.65957447,82489,0.07,
Sarrià-Sant Gervasi,269,Filipinas,2008,25.70093458,142665,0.19,
Gràcia,74,Filipinas,2008,-1.333333333,122088,0.06,
Horta-Guinardó,58,Filipinas,2008,5.454545455,170427,0.03,
Nou Barris,66,Filipinas,2008,26.92307692,167433,0.04,
Sant Andreu,55,Filipinas,2008,-6.779661017,145443,0.04,
Sant Martí,134,Filipinas,2008,31.37254902,226429,0.06,
Ciutat Vella,783,Rumanía,2008,6.967213115,111636,0.70,
Eixample,856,Rumanía,2008,16.30434783,265866,0.32,
Sants-Montjuïc,865,Rumanía,2008,16.73414305,181432,0.48,
Les Corts,259,Rumanía,2008,10.68376068,82489,0.31,
Sarrià-Sant Gervasi,227,Rumanía,2008,10.73170732,142665,0.16,
Gràcia,383,Rumanía,2008,24.35064935,122088,0.31,
Horta-Guinardó,814,Rumanía,2008,18.65889213,170427,0.48,
Nou Barris,905,Rumanía,2008,16.9250646,167433,0.54,
Sant Andreu,558,Rumanía,2008,16.00831601,145443,0.38,
Sant Martí,1039,Rumanía,2008,17.66704417,226429,0.46,
Ciutat Vella,63256,España,2007,-2.322421248,111518,56.72,
Eixample,220680,España,2007,-1.324879384,262469,84.08,
Sants-Montjuïc,146880,España,2007,-1.433403124,178482,82.29,
Les Corts,72919,España,2007,-1.364841467,81628,89.33,
Sarrià-Sant Gervasi,126255,España,2007,-0.353582788,141091,89.48,
Gràcia,103636,España,2007,-1.194596192,120177,86.24,
Horta-Guinardó,148499,España,2007,-1.359717296,168541,88.11,
Nou Barris,141298,España,2007,-1.679064233,164982,85.64,
Sant Andreu,126525,España,2007,-0.991454864,143148,88.39,
Sant Martí,193460,España,2007,-0.766334623,223074,86.72,
Ciutat Vella,3171,Italia,2007,20.8,111518,2.84,
Eixample,4663,Italia,2007,19.8714653,262469,1.78,
Sants-Montjuïc,1764,Italia,2007,22.24532225,178482,0.99,
Les Corts,801,Italia,2007,8.68385346,81628,0.98,
Sarrià-Sant Gervasi,1869,Italia,2007,10.72274882,141091,1.32,
Gràcia,2024,Italia,2007,18.84908984,120177,1.68,
Horta-Guinardó,1176,Italia,2007,16.43564356,168541,0.70,
Nou Barris,602,Italia,2007,10.4587156,164982,0.36,
Sant Andreu,759,Italia,2007,13.4529148,143148,0.53,
Sant Martí,2133,Italia,2007,21.81610508,223074,0.96,
Ciutat Vella,1806,francia,2007,22.35772358,111518,1.62,
Eixample,2768,francia,2007,19.31034483,262469,1.05,
Sants-Montjuïc,987,francia,2007,18.91566265,178482,0.55,
Les Corts,804,francia,2007,6.914893617,81628,0.98,
Sarrià-Sant Gervasi,1866,francia,2007,10.93935791,141091,1.32,
Gràcia,1190,francia,2007,20.2020202,120177,0.99,
Horta-Guinardó,504,francia,2007,8.154506438,168541,0.30,
Nou Barris,209,francia,2007,14.20765027,164982,0.13,
Sant Andreu,255,francia,2007,9.913793103,143148,0.18,
Sant Martí,1058,francia,2007,20.50113895,223074,0.47,
Ciutat Vella,1173,Reino Unido,2007,13.44294004,111518,1.05,
Eixample,1388,Reino Unido,2007,9.984152139,262469,0.53,
Sants-Montjuïc,463,Reino Unido,2007,19.02313625,178482,0.26,
Les Corts,219,Reino Unido,2007,10.05025126,81628,0.27,
Sarrià-Sant Gervasi,684,Reino Unido,2007,5.882352941,141091,0.48,
Gràcia,675,Reino Unido,2007,9.577922078,120177,0.56,
Horta-Guinardó,261,Reino Unido,2007,13.97379913,168541,0.15,
Nou Barris,90,Reino Unido,2007,11.11111111,164982,0.05,
Sant Andreu,97,Reino Unido,2007,-1.020408163,143148,0.07,
Sant Martí,564,Reino Unido,2007,13.93939394,223074,0.25,
Ciutat Vella,3894,Marruecos,2007,-26.0960334,111518,3.49,
Eixample,1083,Marruecos,2007,-19.17910448,262469,0.41,
Sants-Montjuïc,2267,Marruecos,2007,-11.1677116,178482,1.27,
Les Corts,144,Marruecos,2007,-26.15384615,81628,0.18,
Sarrià-Sant Gervasi,233,Marruecos,2007,-14.96350365,141091,0.17,
Gràcia,500,Marruecos,2007,-12.58741259,120177,0.42,
Horta-Guinardó,850,Marruecos,2007,7.323232323,168541,0.50,
Nou Barris,1339,Marruecos,2007,-3.945480631,164982,0.81,
Sant Andreu,1248,Marruecos,2007,-7.349665924,143148,0.87,
Sant Martí,1756,Marruecos,2007,-7.82152231,223074,0.79,
Ciutat Vella,5213,Bolivia,2007,29.96758913,111518,4.67,
Eixample,1663,Bolivia,2007,14.21703297,262469,0.63,
Sants-Montjuïc,1925,Bolivia,2007,22.45547074,178482,1.08,
Les Corts,386,Bolivia,2007,34.49477352,81628,0.47,
Sarrià-Sant Gervasi,703,Bolivia,2007,7.164634146,141091,0.50,
Gràcia,885,Bolivia,2007,26.24821683,120177,0.74,
Horta-Guinardó,1846,Bolivia,2007,43.21179209,168541,1.10,
Nou Barris,2930,Bolivia,2007,34.40366972,164982,1.78,
Sant Andreu,1324,Bolivia,2007,40.70138151,143148,0.92,
Sant Martí,1719,Bolivia,2007,30.72243346,223074,0.77,
Ciutat Vella,1752,Ecuador,2007,-33.88679245,111518,1.57,
Eixample,2664,Ecuador,2007,-27.76572668,262469,1.01,
Sants-Montjuïc,3490,Ecuador,2007,-20.37417294,178482,1.96,
Les Corts,471,Ecuador,2007,-24.51923077,81628,0.58,
Sarrià-Sant Gervasi,488,Ecuador,2007,-27.48885587,141091,0.35,
Gràcia,999,Ecuador,2007,-30.38327526,120177,0.83,
Horta-Guinardó,2646,Ecuador,2007,-14.67268623,168541,1.57,
Nou Barris,5449,Ecuador,2007,-8.772810983,164982,3.30,
Sant Andreu,2541,Ecuador,2007,-14.18439716,143148,1.78,
Sant Martí,3292,Ecuador,2007,-18.4946769,223074,1.48,
Ciutat Vella,600,Perú,2007,-18.80920162,111518,0.54,
Eixample,2703,Perú,2007,-12.46761658,262469,1.03,
Sants-Montjuïc,2048,Perú,2007,-12.21603086,178482,1.15,
Les Corts,455,Perú,2007,-9,81628,0.56,
Sarrià-Sant Gervasi,618,Perú,2007,-18.25396825,141091,0.44,
Gràcia,877,Perú,2007,-11.85929648,120177,0.73,
Horta-Guinardó,1563,Perú,2007,-2.495321273,168541,0.93,
Nou Barris,1612,Perú,2007,-0.247524752,164982,0.98,
Sant Andreu,1890,Perú,2007,-2.527075812,143148,1.32,
Sant Martí,2054,Perú,2007,-3.973819542,223074,0.92,
Ciutat Vella,866,Colombia,2007,-26.54792197,111518,0.78,
Eixample,2144,Colombia,2007,-16.93142193,262469,0.82,
Sants-Montjuïc,1849,Colombia,2007,-15.10560147,178482,1.04,
Les Corts,518,Colombia,2007,-18.16745656,81628,0.63,
Sarrià-Sant Gervasi,645,Colombia,2007,-24.20681551,141091,0.46,
Gràcia,831,Colombia,2007,-19.71014493,120177,0.69,
Horta-Guinardó,1448,Colombia,2007,-8.121827411,168541,0.86,
Nou Barris,1241,Colombia,2007,-3.424124514,164982,0.75,
Sant Andreu,952,Colombia,2007,-10.01890359,143148,0.67,
Sant Martí,1662,Colombia,2007,-9.279475983,223074,0.75,
Ciutat Vella,6087,Pakistán,2007,-14.18299732,111518,5.46,
Eixample,513,Pakistán,2007,-13.49072513,262469,0.20,
Sants-Montjuïc,2145,Pakistán,2007,-9.14866582,178482,1.20,
Les Corts,46,Pakistán,2007,12.19512195,81628,0.06,
Sarrià-Sant Gervasi,29,Pakistán,2007,141.6666667,141091,0.02,
Gràcia,158,Pakistán,2007,35.04273504,120177,0.13,
Horta-Guinardó,337,Pakistán,2007,12.7090301,168541,0.20,
Nou Barris,1063,Pakistán,2007,2.309913378,164982,0.64,
Sant Andreu,976,Pakistán,2007,2.092050209,143148,0.68,
Sant Martí,2239,Pakistán,2007,1.495920218,223074,1.00,
Ciutat Vella,798,China,2007,-25.14071295,111518,0.72,
Eixample,3495,China,2007,-4.351395731,262469,1.33,
Sants-Montjuïc,1709,China,2007,-6.967882417,178482,0.96,
Les Corts,295,China,2007,2.076124567,81628,0.36,
Sarrià-Sant Gervasi,412,China,2007,-6.997742664,141091,0.29,
Gràcia,519,China,2007,-3.710575139,120177,0.43,
Horta-Guinardó,501,China,2007,-2.339181287,168541,0.30,
Nou Barris,786,China,2007,-7.4204947,164982,0.48,
Sant Andreu,984,China,2007,-3.529411765,143148,0.69,
Sant Martí,1904,China,2007,-12.78057719,223074,0.85,
Ciutat Vella,3845,Filipinas,2007,-5.898188938,111518,3.45,
Eixample,736,Filipinas,2007,-17.94871795,262469,0.28,
Sants-Montjuïc,1172,Filipinas,2007,13.23671498,178482,0.66,
Les Corts,47,Filipinas,2007,-14.54545455,81628,0.06,
Sarrià-Sant Gervasi,214,Filipinas,2007,-20.14925373,141091,0.15,
Gràcia,75,Filipinas,2007,-3.846153846,120177,0.06,
Horta-Guinardó,55,Filipinas,2007,5.769230769,168541,0.03,
Nou Barris,52,Filipinas,2007,-5.454545455,164982,0.03,
Sant Andreu,59,Filipinas,2007,3.50877193,143148,0.04,
Sant Martí,102,Filipinas,2007,13.33333333,223074,0.05,
Ciutat Vella,732,Rumanía,2007,-15.47344111,111518,0.66,
Eixample,736,Rumanía,2007,15.90551181,262469,0.28,
Sants-Montjuïc,741,Rumanía,2007,4.513399154,178482,0.42,
Les Corts,234,Rumanía,2007,12.5,81628,0.29,
Sarrià-Sant Gervasi,205,Rumanía,2007,19.18604651,141091,0.15,
Gràcia,308,Rumanía,2007,-3.75,120177,0.26,
Horta-Guinardó,686,Rumanía,2007,17.66723842,168541,0.41,
Nou Barris,774,Rumanía,2007,12.17391304,164982,0.47,
Sant Andreu,481,Rumanía,2007,18.7654321,143148,0.34,
Sant Martí,883,Rumanía,2007,24.19127989,223074,0.40,
Ciutat Vella,64760,España,2006,,113154,57.23,
Eixample,223643,España,2006,,265561,84.22,
Sants-Montjuïc,149016,España,2006,,180044,82.77,
Les Corts,73928,España,2006,,82745,89.34,
Sarrià-Sant Gervasi,126703,España,2006,,141469,89.56,
Gràcia,104889,España,2006,,121245,86.51,
Horta-Guinardó,150546,España,2006,,169774,88.67,
Nou Barris,143711,España,2006,,165156,87.02,
Sant Andreu,127792,España,2006,,143540,89.03,
Sant Martí,194954,España,2006,,222914,87.46,
Ciutat Vella,2625,Italia,2006,,113154,2.32,
Eixample,3890,Italia,2006,,265561,1.46,
Sants-Montjuïc,1443,Italia,2006,,180044,0.80,
Les Corts,737,Italia,2006,,82745,0.89,
Sarrià-Sant Gervasi,1688,Italia,2006,,141469,1.19,
Gràcia,1703,Italia,2006,,121245,1.40,
Horta-Guinardó,1010,Italia,2006,,169774,0.59,
Nou Barris,545,Italia,2006,,165156,0.33,
Sant Andreu,669,Italia,2006,,143540,0.47,
Sant Martí,1751,Italia,2006,,222914,0.79,
Ciutat Vella,1476,francia,2006,,113154,1.30,
Eixample,2320,francia,2006,,265561,0.87,
Sants-Montjuïc,830,francia,2006,,180044,0.46,
Les Corts,752,francia,2006,,82745,0.91,
Sarrià-Sant Gervasi,1682,francia,2006,,141469,1.19,
Gràcia,990,francia,2006,,121245,0.82,
Horta-Guinardó,466,francia,2006,,169774,0.27,
Nou Barris,183,francia,2006,,165156,0.11,
Sant Andreu,232,francia,2006,,143540,0.16,
Sant Martí,878,francia,2006,,222914,0.39,
Ciutat Vella,1034,Reino Unido,2006,,113154,0.91,
Eixample,1262,Reino Unido,2006,,265561,0.48,
Sants-Montjuïc,389,Reino Unido,2006,,180044,0.22,
Les Corts,199,Reino Unido,2006,,82745,0.24,
Sarrià-Sant Gervasi,646,Reino Unido,2006,,141469,0.46,
Gràcia,616,Reino Unido,2006,,121245,0.51,
Horta-Guinardó,229,Reino Unido,2006,,169774,0.13,
Nou Barris,81,Reino Unido,2006,,165156,0.05,
Sant Andreu,98,Reino Unido,2006,,143540,0.07,
Sant Martí,495,Reino Unido,2006,,222914,0.22,
Ciutat Vella,5269,Marruecos,2006,,113154,4.66,
Eixample,1340,Marruecos,2006,,265561,0.50,
Sants-Montjuïc,2552,Marruecos,2006,,180044,1.42,
Les Corts,195,Marruecos,2006,,82745,0.24,
Sarrià-Sant Gervasi,274,Marruecos,2006,,141469,0.19,
Gràcia,572,Marruecos,2006,,121245,0.47,
Horta-Guinardó,792,Marruecos,2006,,169774,0.47,
Nou Barris,1394,Marruecos,2006,,165156,0.84,
Sant Andreu,1347,Marruecos,2006,,143540,0.94,
Sant Martí,1905,Marruecos,2006,,222914,0.85,
Ciutat Vella,4011,Bolivia,2006,,113154,3.54,
Eixample,1456,Bolivia,2006,,265561,0.55,
Sants-Montjuïc,1572,Bolivia,2006,,180044,0.87,
Les Corts,287,Bolivia,2006,,82745,0.35,
Sarrià-Sant Gervasi,656,Bolivia,2006,,141469,0.46,
Gràcia,701,Bolivia,2006,,121245,0.58,
Horta-Guinardó,1289,Bolivia,2006,,169774,0.76,
Nou Barris,2180,Bolivia,2006,,165156,1.32,
Sant Andreu,941,Bolivia,2006,,143540,0.66,
Sant Martí,1315,Bolivia,2006,,222914,0.59,
Ciutat Vella,2650,Ecuador,2006,,113154,2.34,
Eixample,3688,Ecuador,2006,,265561,1.39,
Sants-Montjuïc,4383,Ecuador,2006,,180044,2.43,
Les Corts,624,Ecuador,2006,,82745,0.75,
Sarrià-Sant Gervasi,673,Ecuador,2006,,141469,0.48,
Gràcia,1435,Ecuador,2006,,121245,1.18,
Horta-Guinardó,3101,Ecuador,2006,,169774,1.83,
Nou Barris,5973,Ecuador,2006,,165156,3.62,
Sant Andreu,2961,Ecuador,2006,,143540,2.06,
Sant Martí,4039,Ecuador,2006,,222914,1.81,
Ciutat Vella,739,Perú,2006,,113154,0.65,
Eixample,3088,Perú,2006,,265561,1.16,
Sants-Montjuïc,2333,Perú,2006,,180044,1.30,
Les Corts,500,Perú,2006,,82745,0.60,
Sarrià-Sant Gervasi,756,Perú,2006,,141469,0.53,
Gràcia,995,Perú,2006,,121245,0.82,
Horta-Guinardó,1603,Perú,2006,,169774,0.94,
Nou Barris,1616,Perú,2006,,165156,0.98,
Sant Andreu,1939,Perú,2006,,143540,1.35,
Sant Martí,2139,Perú,2006,,222914,0.96,
Ciutat Vella,1179,Colombia,2006,,113154,1.04,
Eixample,2581,Colombia,2006,,265561,0.97,
Sants-Montjuïc,2178,Colombia,2006,,180044,1.21,
Les Corts,633,Colombia,2006,,82745,0.77,
Sarrià-Sant Gervasi,851,Colombia,2006,,141469,0.60,
Gràcia,1035,Colombia,2006,,121245,0.85,
Horta-Guinardó,1576,Colombia,2006,,169774,0.93,
Nou Barris,1285,Colombia,2006,,165156,0.78,
Sant Andreu,1058,Colombia,2006,,143540,0.74,
Sant Martí,1832,Colombia,2006,,222914,0.82,
Ciutat Vella,7093,Pakistán,2006,,113154,6.27,
Eixample,593,Pakistán,2006,,265561,0.22,
Sants-Montjuïc,2361,Pakistán,2006,,180044,1.31,
Les Corts,41,Pakistán,2006,,82745,0.05,
Sarrià-Sant Gervasi,12,Pakistán,2006,,141469,0.01,
