localizacion,rango,year,poblacion,porcentaje
Barcelona,de 40-59,2008,430531,26.64
Barcelona,de 60-79,2008,318980,19.74
Barcelona,más de 80,2008,103394,6.4
Ciutat Vella Total,total,2007,111518,
Ciutat Vella,de 0 a 20,2007,14185,12.72
Ciutat Vella,de 20-39,2007,48515,43.5
Ciutat Vella,de 40-59,2007,26592,23.85
Ciutat Vella,de 60-79,2007,16197,14.52
Ciutat Vella,más de 80,2007,6029,5.41
Eixample Total,total,2007,262469,
Eixample,de 0 a 20,2007,37981,14.47
Eixample,de 20-39,2007,80205,30.56
Eixample,de 40-59,2007,71174,27.12
Eixample,de 60-79,2007,52434,19.98
Eixample,más de 80,2007,20675,7.88
Sants-Montjuïc Total,total,2007,178482,
Sants-Montjuïc,de 0 a 20,2007,27636,15.48
Sants-Montjuïc,de 20-39,2007,57207,32.05
Sants-Montjuïc,de 40-59,2007,48632,27.25
Sants-Montjuïc,de 60-79,2007,34671,19.43
Sants-Montjuïc,más de 80,2007,10336,5.79
Les Corts Total,total,2007,81628,
Les Corts,de 0 a 20,2007,13218,16.19
Les Corts,de 20-39,2007,22671,27.77
Les Corts,de 40-59,2007,22952,28.12
Les Corts,de 60-79,2007,17681,21.66
Les Corts,más de 80,2007,5106,6.26
Sarrià-Sant Gervasi Total,total,2007,141091,
Sarrià-Sant Gervasi,de 0 a 20,2007,28291,20.05
Sarrià-Sant Gervasi,de 20-39,2007,37663,26.69
Sarrià-Sant Gervasi,de 40-59,2007,37560,26.62
Sarrià-Sant Gervasi,de 60-79,2007,27537,19.52
Sarrià-Sant Gervasi,más de 80,2007,10040,7.12
Gràcia Total,total,2007,120177,
Gràcia,de 0 a 20,2007,17379,14.46
Gràcia,de 20-39,2007,38417,31.97
Gràcia,de 40-59,2007,31707,26.38
Gràcia,de 60-79,2007,23860,19.85
Gràcia,más de 80,2007,8814,7.33
Horta-Guinardó Total,total,2007,168541,
Horta-Guinardó,de 0 a 20,2007,26227,15.56
Horta-Guinardó,de 20-39,2007,49973,29.65
Horta-Guinardó,de 40-59,2007,44477,26.39
Horta-Guinardó,de 60-79,2007,37671,22.35
Horta-Guinardó,más de 80,2007,10193,6.05
Nou Barris Total,total,2007,164982,
Nou Barris,de 0 a 20,2007,26354,15.97
Nou Barris,de 20-39,2007,50267,30.47
Nou Barris,de 40-59,2007,41030,24.87
Nou Barris,de 60-79,2007,37890,22.97
Nou Barris,más de 80,2007,9441,5.72
Sant Andreu Total,total,2007,143148,
Sant Andreu,de 0 a 20,2007,23455,16.39
Sant Andreu,de 20-39,2007,44282,30.93
Sant Andreu,de 40-59,2007,39590,27.66
Sant Andreu,de 60-79,2007,27963,19.53
Sant Andreu,más de 80,2007,7858,5.49
Sant Martí Total,total,2007,223074,
Sant Martí,de 0 a 20,2007,37094,16.63
Sant Martí,de 20-39,2007,68675,30.79
Sant Martí,de 40-59,2007,61455,27.55
Sant Martí,de 60-79,2007,43591,19.54
Sant Martí,más de 80,2007,12259,5.5
Barcelona Total,total,2007,1595110,
Barcelona,de 0 a 20,2007,251820,15.79
Barcelona,de 20-39,2007,497875,31.21
Barcelona,de 40-59,2007,425169,26.65
Barcelona,de 60-79,2007,319495,20.03
Barcelona,más de 80,2007,100751,6.32
Ciutat Vella Total,total,2006,113154,
Ciutat Vella,de 0 a 20,2006,14361,12.69
Ciutat Vella,de 20-39,2006,48999,43.3
Ciutat Vella,de 40-59,2006,26845,23.72
Ciutat Vella,de 60-79,2006,16904,14.94
Ciutat Vella,más de 80,2006,6045,5.34
Eixample Total,total,2006,265561,
Eixample,de 0 a 20,2006,38604,14.54
Eixample,de 20-39,2006,81921,30.85
Eixample,de 40-59,2006,71404,26.89
Eixample,de 60-79,2006,53199,20.03
Eixample,más de 80,2006,20433,7.69
Sants-Montjuïc Total,total,2006,180044,
Sants-Montjuïc,de 0 a 20,2006,28101,15.61
Sants-Montjuïc,de 20-39,2006,58243,32.35
Sants-Montjuïc,de 40-59,2006,48602,26.99
Sants-Montjuïc,de 60-79,2006,35018,19.45
Sants-Montjuïc,más de 80,2006,10080,5.6
Les Corts Total,total,2006,82745,
Les Corts,de 0 a 20,2006,13517,16.34
Les Corts,de 20-39,2006,23400,28.28
Les Corts,de 40-59,2006,23443,28.33
Les Corts,de 60-79,2006,17527,21.18
Les Corts,más de 80,2006,4858,5.87
Sarrià-Sant Gervasi Total,total,2006,141469,
Sarrià-Sant Gervasi,de 0 a 20,2006,27985,19.78
Sarrià-Sant Gervasi,de 20-39,2006,38736,27.38
Sarrià-Sant Gervasi,de 40-59,2006,37457,26.48
Sarrià-Sant Gervasi,de 60-79,2006,27588,19.5
Sarrià-Sant Gervasi,más de 80,2006,9703,6.86
Gràcia Total,total,2006,121245,
Gràcia,de 0 a 20,2006,17561,14.48
Gràcia,de 20-39,2006,38964,32.14
Gràcia,de 40-59,2006,31940,26.34
Gràcia,de 60-79,2006,24141,19.91
Gràcia,más de 80,2006,8639,7.13
Horta-Guinardó Total,total,2006,169774,
Horta-Guinardó,de 0 a 20,2006,26360,15.53
Horta-Guinardó,de 20-39,2006,51195,30.15
Horta-Guinardó,de 40-59,2006,44542,26.24
Horta-Guinardó,de 60-79,2006,37841,22.29
Horta-Guinardó,más de 80,2006,9836,5.79
Nou Barris Total,total,2006,165156,
Nou Barris,de 0 a 20,2006,26347,15.95
Nou Barris,de 20-39,2006,50910,30.83
Nou Barris,de 40-59,2006,40779,24.69
Nou Barris,de 60-79,2006,38151,23.1
Nou Barris,más de 80,2006,8969,5.43
Sant Andreu Total,total,2006,143540,
Sant Andreu,de 0 a 20,2006,23400,16.3
Sant Andreu,de 20-39,2006,45050,31.38
Sant Andreu,de 40-59,2006,39508,27.52
Sant Andreu,de 60-79,2006,28107,19.58
Sant Andreu,más de 80,2006,7475,5.21
Sant Martí Total,total,2006,222914,
Sant Martí,de 0 a 20,2006,36993,16.6
Sant Martí,de 20-39,2006,69733,31.28
Sant Martí,de 40-59,2006,60714,27.24
Sant Martí,de 60-79,2006,43770,19.64
Sant Martí,más de 80,2006,11704,5.25
Barcelona Total,total,2006,1605602,
Barcelona,de 0 a 20,2006,253229,15.77
Barcelona,de 20-39,2006,507151,31.59
Barcelona,de 40-59,2006,425234,26.48
Barcelona,de 60-79,2006,322246,20.07
Barcelona,más de 80,2006,97742,6.09
