localizacion,rango,year,poblacion,porcentaje
Ciutat Vella,de 40-59,2014,27335,27.15
Ciutat Vella,de 60-79,2014,13131,13.04
Ciutat Vella,más de 80,2014,5594,5.56
Eixample Total,total,2014,263565,
Eixample,de 0 a 20,2014,38174,14.48
Eixample,de 20-39,2014,78505,29.79
Eixample,de 40-59,2014,73112,27.74
Eixample,de 60-79,2014,51423,19.51
Eixample,más de 80,2014,22351,8.48
Sants-Montjuïc Total,total,2014,180824,
Sants-Montjuïc,de 0 a 20,2014,28142,15.56
Sants-Montjuïc,de 20-39,2014,54243,30
Sants-Montjuïc,de 40-59,2014,52191,28.86
Sants-Montjuïc,de 60-79,2014,33575,18.57
Sants-Montjuïc,más de 80,2014,12673,7.01
Les Corts Total,total,2014,81200,
Les Corts,de 0 a 20,2014,13164,16.21
Les Corts,de 20-39,2014,20835,25.66
Les Corts,de 40-59,2014,21654,26.67
Les Corts,de 60-79,2014,19242,23.7
Les Corts,más de 80,2014,6305,7.76
Sarrià-Sant Gervasi Total,total,2014,145761,
Sarrià-Sant Gervasi,de 0 a 20,2014,30552,20.96
Sarrià-Sant Gervasi,de 20-39,2014,35405,24.29
Sarrià-Sant Gervasi,de 40-59,2014,40320,27.66
Sarrià-Sant Gervasi,de 60-79,2014,28073,19.26
Sarrià-Sant Gervasi,más de 80,2014,11411,7.83
Gràcia Total,total,2014,120273,
Gràcia,de 0 a 20,2014,18263,15.18
Gràcia,de 20-39,2014,36414,30.28
Gràcia,de 40-59,2014,32615,27.12
Gràcia,de 60-79,2014,23500,19.54
Gràcia,más de 80,2014,9481,7.88
Horta-Guinardó Total,total,2014,166950,
Horta-Guinardó,de 0 a 20,2014,27111,16.24
Horta-Guinardó,de 20-39,2014,43256,25.91
Horta-Guinardó,de 40-59,2014,47171,28.25
Horta-Guinardó,de 60-79,2014,36107,21.63
Horta-Guinardó,más de 80,2014,13305,7.97
Nou Barris Total,total,2014,164516,
Nou Barris,de 0 a 20,2014,28251,17.17
Nou Barris,de 20-39,2014,43014,26.15
Nou Barris,de 40-59,2014,45381,27.58
Nou Barris,de 60-79,2014,34808,21.16
Nou Barris,más de 80,2014,13062,7.94
Sant Andreu Total,total,2014,145983,
Sant Andreu,de 0 a 20,2014,25271,17.31
Sant Andreu,de 20-39,2014,38999,26.71
Sant Andreu,de 40-59,2014,41923,28.72
Sant Andreu,de 60-79,2014,29712,20.35
Sant Andreu,más de 80,2014,10078,6.9
Sant Martí Total,total,2014,232629,
Sant Martí,de 0 a 20,2014,40601,17.45
Sant Martí,de 20-39,2014,63975,27.5
Sant Martí,de 40-59,2014,68244,29.34
Sant Martí,de 60-79,2014,43917,18.88
Sant Martí,más de 80,2014,15892,6.83
Barcelona Total,total,2014,1602386,
Barcelona,de 0 a 20,2014,263755,16.46
Barcelona,de 20-39,2014,455045,28.4
Barcelona,de 40-59,2014,449946,28.08
Barcelona,de 60-79,2014,313488,19.56
Barcelona,más de 80,2014,120152,7.5
Ciutat Vella Total,total,2013,103339,
Ciutat Vella,de 0 a 20,2013,14497,14.03
Ciutat Vella,de 20-39,2013,42137,40.78
Ciutat Vella,de 40-59,2013,27436,26.55
Ciutat Vella,de 60-79,2013,13585,13.15
Ciutat Vella,más de 80,2013,5684,5.5
Eixample Total,total,2013,264780,
Eixample,de 0 a 20,2013,37992,14.35
Eixample,de 20-39,2013,80137,30.27
Eixample,de 40-59,2013,72794,27.49
Eixample,de 60-79,2013,51453,19.43
Eixample,más de 80,2013,22404,8.46
Sants-Montjuïc Total,total,2013,182685,
Sants-Montjuïc,de 0 a 20,2013,28392,15.54
Sants-Montjuïc,de 20-39,2013,56277,30.81
Sants-Montjuïc,de 40-59,2013,52051,28.49
Sants-Montjuïc,de 60-79,2013,33632,18.41
Sants-Montjuïc,más de 80,2013,12333,6.75
Les Corts Total,total,2013,81640,
Les Corts,de 0 a 20,2013,13175,16.14
Les Corts,de 20-39,2013,21522,26.36
Les Corts,de 40-59,2013,21680,26.56
Les Corts,de 60-79,2013,19135,23.44
Les Corts,más de 80,2013,6128,7.51
Sarrià-Sant Gervasi Total,total,2013,145266,
Sarrià-Sant Gervasi,de 0 a 20,2013,30060,20.69
Sarrià-Sant Gervasi,de 20-39,2013,36015,24.79
Sarrià-Sant Gervasi,de 40-59,2013,39900,27.47
Sarrià-Sant Gervasi,de 60-79,2013,28012,19.28
Sarrià-Sant Gervasi,más de 80,2013,11279,7.76
Gràcia Total,total,2013,120949,
Gràcia,de 0 a 20,2013,18144,15
Gràcia,de 20-39,2013,37385,30.91
Gràcia,de 40-59,2013,32464,26.84
Gràcia,de 60-79,2013,23572,19.49
Gràcia,más de 80,2013,9384,7.76
Horta-Guinardó Total,total,2013,167743,
Horta-Guinardó,de 0 a 20,2013,27017,16.11
Horta-Guinardó,de 20-39,2013,44756,26.68
Horta-Guinardó,de 40-59,2013,46701,27.84
Horta-Guinardó,de 60-79,2013,36412,21.71
Horta-Guinardó,más de 80,2013,12857,7.66
Nou Barris Total,total,2013,165748,
Nou Barris,de 0 a 20,2013,28229,17.03
Nou Barris,de 20-39,2013,44851,27.06
Nou Barris,de 40-59,2013,44804,27.03
Nou Barris,de 60-79,2013,35373,21.34
Nou Barris,más de 80,2013,12491,7.54
Sant Andreu Total,total,2013,146846,
